Varijanta,Model,fold,train_rows,test_rows,MAE,RMSE,R²
V1 (Brisanje),Lin. regresija,1960–1979 → 1980–1984,2765,765,50.1998,110.3739,0.8155
V1 (Brisanje),Lin. regresija,1965–1984 → 1985–1989,2852,770,56.8156,129.4151,0.8117
V1 (Brisanje),Lin. regresija,1970–1989 → 1990–1994,2937,756,61.2255,131.3260,0.8319
V1 (Brisanje),Lin. regresija,1975–1994 → 1995–1999,2986,765,59.5840,124.8190,0.8669
V1 (Brisanje),Lin. regresija,1980–1999 → 2000–2004,3056,763,62.3195,137.1150,0.8862
V1 (Brisanje),Lin. regresija,1985–2004 → 2005–2009,3054,764,75.7042,209.9206,0.8784
V1 (Brisanje),Lin. regresija,1990–2009 → 2010–2014,3048,784,99.2207,280.5802,0.8764
V1 (Brisanje),Lin. regresija,1995–2014 → 2015–2019,3076,785,118.7670,230.2634,0.9262
V1 (Brisanje),Neur. mreža,1960–1979 → 1980–1984,2765,765,25.0159,68.5673,0.9288
V1 (Brisanje),Neur. mreža,1965–1984 → 1985–1989,2852,770,35.5933,94.3540,0.8999
V1 (Brisanje),Neur. mreža,1970–1989 → 1990–1994,2937,756,36.7345,87.2965,0.9257
V1 (Brisanje),Neur. mreža,1975–1994 → 1995–1999,2986,765,45.4781,131.0460,0.8533
V1 (Brisanje),Neur. mreža,1980–1999 → 2000–2004,3056,763,38.1374,86.0738,0.9551
V1 (Brisanje),Neur. mreža,1985–2004 → 2005–2009,3054,764,43.5833,117.2242,0.9621
V1 (Brisanje),Neur. mreža,1990–2009 → 2010–2014,3048,784,50.2723,88.4712,0.9877
V1 (Brisanje),Neur. mreža,1995–2014 → 2015–2019,3076,785,70.0601,201.9210,0.9433
V1 (Brisanje),Random Forest,1960–1979 → 1980–1984,2765,765,21.2105,65.2737,0.9355
V1 (Brisanje),Random Forest,1965–1984 → 1985–1989,2852,770,25.2218,91.8327,0.9052
V1 (Brisanje),Random Forest,1970–1989 → 1990–1994,2937,756,32.3227,127.3538,0.8419
V1 (Brisanje),Random Forest,1975–1994 → 1995–1999,2986,765,36.3400,139.4350,0.8339
V1 (Brisanje),Random Forest,1980–1999 → 2000–2004,3056,763,35.7163,135.0386,0.8896
V1 (Brisanje),Random Forest,1985–2004 → 2005–2009,3054,764,39.4425,188.3356,0.9021
V1 (Brisanje),Random Forest,1990–2009 → 2010–2014,3048,784,36.1678,173.3569,0.9528
V1 (Brisanje),Random Forest,1995–2014 → 2015–2019,3076,785,30.1820,88.4693,0.9891
V1 (Brisanje),Transformer,1960–1979 → 1980–1984,2765,765,22.3884,52.3647,0.9585
V1 (Brisanje),Transformer,1965–1984 → 1985–1989,2852,770,35.0231,106.0862,0.8734
V1 (Brisanje),Transformer,1970–1989 → 1990–1994,2937,756,34.6652,117.2607,0.8660
V1 (Brisanje),Transformer,1975–1994 → 1995–1999,2986,765,29.4565,76.4314,0.9501
V1 (Brisanje),Transformer,1980–1999 → 2000–2004,3056,763,99.3185,233.8280,0.6689
V1 (Brisanje),Transformer,1985–2004 → 2005–2009,3054,764,50.9285,215.6614,0.8716
V1 (Brisanje),Transformer,1990–2009 → 2010–2014,3048,784,56.4828,197.0022,0.9390
V1 (Brisanje),Transformer,1995–2014 → 2015–2019,3076,785,72.2107,115.5061,0.9814
V2 (Medijana),Lin. regresija,1960–1979 → 1980–1984,3880,970,79.1018,343.9349,0.2554
V2 (Medijana),Lin. regresija,1965–1984 → 1985–1989,3880,970,86.9034,373.0279,0.2666
V2 (Medijana),Lin. regresija,1970–1989 → 1990–1994,3880,970,77.4037,381.9986,0.3248
V2 (Medijana),Lin. regresija,1975–1994 → 1995–1999,3880,970,74.9573,411.0128,0.3332
V2 (Medijana),Lin. regresija,1980–1999 → 2000–2004,3880,970,74.4755,433.6920,0.3955
V2 (Medijana),Lin. regresija,1985–2004 → 2005–2009,3880,970,82.9540,430.6098,0.5999
V2 (Medijana),Lin. regresija,1990–2009 → 2010–2014,3880,970,90.5121,413.9331,0.7432
V2 (Medijana),Lin. regresija,1995–2014 → 2015–2019,3880,970,86.7544,386.3833,0.7934
V2 (Medijana),Neur. mreža,1960–1979 → 1980–1984,3880,970,61.8910,321.8018,0.3482
V2 (Medijana),Neur. mreža,1965–1984 → 1985–1989,3880,970,74.5566,339.5548,0.3923
V2 (Medijana),Neur. mreža,1970–1989 → 1990–1994,3880,970,87.4725,365.3482,0.3824
V2 (Medijana),Neur. mreža,1975–1994 → 1995–1999,3880,970,88.1070,397.2198,0.3772
V2 (Medijana),Neur. mreža,1980–1999 → 2000–2004,3880,970,85.0400,429.1268,0.4082
V2 (Medijana),Neur. mreža,1985–2004 → 2005–2009,3880,970,118.9037,490.2940,0.4813
V2 (Medijana),Neur. mreža,1990–2009 → 2010–2014,3880,970,138.8359,550.7440,0.5455
V2 (Medijana),Neur. mreža,1995–2014 → 2015–2019,3880,970,148.3936,575.1782,0.5421
V2 (Medijana),Random Forest,1960–1979 → 1980–1984,3880,970,13.5961,43.4701,0.9881
V2 (Medijana),Random Forest,1965–1984 → 1985–1989,3880,970,22.6927,113.5269,0.9321
V2 (Medijana),Random Forest,1970–1989 → 1990–1994,3880,970,27.6318,186.2268,0.8395
V2 (Medijana),Random Forest,1975–1994 → 1995–1999,3880,970,20.6113,86.7961,0.9703
V2 (Medijana),Random Forest,1980–1999 → 2000–2004,3880,970,23.1480,143.8832,0.9335
V2 (Medijana),Random Forest,1985–2004 → 2005–2009,3880,970,34.4181,263.6944,0.8500
V2 (Medijana),Random Forest,1990–2009 → 2010–2014,3880,970,22.4245,153.2493,0.9648
V2 (Medijana),Random Forest,1995–2014 → 2015–2019,3880,970,30.3793,289.0684,0.8843
V2 (Medijana),Transformer,1960–1979 → 1980–1984,3880,970,52.0072,325.2058,0.3343
V2 (Medijana),Transformer,1965–1984 → 1985–1989,3880,970,70.0665,349.3239,0.3568
V2 (Medijana),Transformer,1970–1989 → 1990–1994,3880,970,66.3977,382.0953,0.3245
